offerdate,sold_premium,offered_premium,purchase_price,purchase_date,item age,pricing_point,predictedconversionrate,plan_flag,plan_count,plansactive_lastyear_count,planscancelled_lastyear_count,claims_count,claim_amount,price_diff,IsModel,sale_flag,base_rate,manufacturerbrandname_enc,itemcategoryname_enc,itemsupercategorycode_enc
17/03/2023,,32.64,89.99,16/03/2023,1,@22%,0.15,0,0,0,0,0,0,-0.058823529,Yes,0,34.68,56,35,14
01/03/2023,69.72,69.72,329,24/12/2022,67,@22%,0.81,1,5,8,2,4,347.12,-0.023529412,Yes,1,71.4,123,34,3
12/04/2023,,48.24,249,05/04/2023,7,@23%,0.08,0,0,0,0,0,0,0.210843373,Yes,0,39.84,7,16,12
09/03/2023,,91.92,746.42,09/03/2021,730,@23%,0.32,0,0,0,0,0,0,0.298305085,Yes,0,70.8,107,36,4
18/03/2023,,89.64,493.98,18/03/2023,0,@22%,0.25,1,1,1,0,0,0,0.299130435,Yes,0,69,57,36,4
07/04/2023,,31.2,300,01/04/2023,6,@23%,0.13,0,0,0,0,0,0,0.019607843,Yes,0,30.6,7,19,2
27/03/2023,,48.12,419.99,16/03/2023,11,@22%,0.13,0,0,0,0,0,0,0.297734628,Yes,0,37.08,129,19,2
27/03/2023,,56.64,279,20/03/2023,7,@23%,0.08,0,0,0,0,0,0,-0.01048218,Yes,0,57.24,74,34,3
13/03/2023,34.44,34.44,300,13/03/2023,0,@22%,0.13,0,0,0,0,0,0,0.298642534,Yes,1,26.52,0,19,2
05/04/2023,,82.08,529,05/04/2023,0,@23%,0.07,0,0,0,0,0,0,0.297912713,Yes,0,63.24,98,34,3
21/03/2023,,47.76,498,21/03/2023,0,@23%,0.14,0,0,0,0,0,0,-0.144086022,Yes,0,55.8,74,37,4
09/03/2023,,63.72,345,12/02/2023,25,ASIS FEE,1,0,0,0,0,0,0,0,No,0,63.72,7,37,4
01/03/2023,,53.4,300,15/02/2023,14,@23%,0.09,0,0,0,0,0,0,0.115288221,Yes,0,47.88,5,12,4
27/03/2023,,48.12,549.99,17/02/2023,38,@23%,0.18,1,2,3,1,2,41.24,-0.065268065,Yes,0,51.48,57,11,1
01/03/2023,48.24,48.24,300,01/03/2023,0,@22%,0.56,1,3,4,1,2,85.03,0.077747989,Yes,1,44.76,57,8,2
20/04/2023,,69.48,399,06/03/2023,45,@23%,0.25,0,0,0,0,0,0,0.09245283,Yes,0,63.6,57,37,4
06/03/2023,,34.68,300,01/03/2023,5,ASIS FEE,1,1,1,1,0,,,0,No,0,34.68,86,32,13
28/03/2023,53.4,53.4,300,06/01/2023,81,@22%,0.23,0,0,0,0,0,0,0.115288221,Yes,1,47.88,56,12,4
18/03/2023,,52.44,200,21/03/2023,-3,@23%,0.56,1,2,2,0,1,89.07,0.07635468,Yes,0,48.72,57,12,4
13/03/2023,,48.12,370.72,12/03/2023,1,@23%,0.12,0,0,0,0,0,0,-0.012315271,Yes,0,48.72,62,12,4
27/03/2023,32.4,32.4,800,06/03/2023,21,@23%,0.18,0,0,0,0,0,0,-0.126213592,Yes,1,37.08,0,25,2
28/02/2023,,63.6,550,28/07/2021,580,@23%,0.31,0,0,0,0,0,0,0.299019608,Yes,0,48.96,107,16,12
27/03/2023,48.24,48.24,419.93,22/03/2023,5,@22%,0.11,0,0,0,0,0,0,0.151862464,Yes,1,41.88,62,8,2
16/04/2023,,48.12,299,15/04/2023,1,@22%,0.22,0,0,0,0,,,-0.176591376,Yes,0,58.44,56,37,4
14/04/2023,,69.36,200,20/04/2023,-6,@23%,0.17,0,0,0,0,0,0,0.090566038,Yes,0,63.6,57,37,4
20/03/2023,,43.44,361.02,20/03/2023,0,@22%,0.11,0,0,0,0,0,0,0.090361446,Yes,0,39.84,7,25,2
28/03/2023,69.72,69.72,339,28/03/2023,0,@23%,0.58,1,4,5,1,0,0,0.096226415,Yes,1,63.6,57,37,4
02/03/2023,45.72,45.72,300,23/12/2022,69,@22%,0.24,0,0,0,0,0,0,0.295918367,Yes,1,35.28,57,9,2
27/03/2023,,48.12,239,25/03/2023,2,@22%,0.12,0,0,0,0,0,0,-0.116740088,Yes,0,54.48,7,37,4
20/04/2023,,53.4,849,14/04/2023,6,@22%,0.51,1,5,21,11,3,102.11,0.08801956,Yes,0,49.08,85,24,2
28/02/2023,,53.4,300,01/12/2022,89,@23%,0.08,0,0,0,0,0,0,0.297376093,Yes,0,41.16,7,12,4
24/03/2023,,48.12,479,24/03/2023,0,@23%,0.12,0,0,0,0,0,0,0.066489362,Yes,0,45.12,11,16,12
24/04/2023,,48.6,239,22/04/2023,2,@23%,0.04,0,0,0,0,0,0,0.219879518,Yes,0,39.84,17,25,2
03/03/2023,30.6,30.6,300,02/03/2023,1,ASIS FEE,1,0,0,1,1,,,0,No,1,30.6,7,19,2
14/04/2023,,48.24,599,14/04/2023,0,@22%,0.12,0,0,0,0,0,0,0.210843373,Yes,0,39.84,89,25,2
17/03/2023,,66.48,400,08/03/2023,9,ASIS FEE,1,0,0,1,1,0,0,0,No,0,66.48,17,37,4
24/04/2023,,69.72,699,28/03/2023,27,@23%,0.22,0,0,0,0,0,0,0.048736462,Yes,0,66.48,129,37,4
28/02/2023,,69.48,599,16/02/2023,12,@23%,0.11,0,0,0,0,0,0,0.24516129,Yes,0,55.8,74,37,4
30/03/2023,39.84,39.84,300,16/01/2023,73,ASIS FEE,1,0,0,0,0,0,0,0,No,1,39.84,12,25,2
05/04/2023,,82.68,366.43,05/04/2023,0,@22%,0.25,1,1,1,0,1,55,0.297551789,Yes,0,63.72,7,37,4
14/04/2023,48.12,48.12,247.52,14/04/2023,0,@23%,0.29,1,1,2,1,0,0,0.16909621,Yes,1,41.16,7,12,4
27/03/2023,,47.76,300,19/02/2023,36,@22%,0.19,0,0,0,0,0,0,0.067024129,Yes,0,44.76,62,25,2
14/03/2023,,68.52,339,12/01/2023,61,@23%,0.34,1,1,1,0,0,0,0.077358491,Yes,0,63.6,57,37,4
19/04/2023,,53.4,250,19/04/2023,0,@23%,0.06,0,0,0,0,0,0,0.115288221,Yes,0,47.88,56,12,4
25/03/2023,,48.12,399,11/03/2023,14,@23%,0.11,0,0,0,0,0,0,-0.019559902,Yes,0,49.08,7,12,4
29/03/2023,,27.84,134,16/03/2023,13,ASIS FEE,1,1,1,1,0,,,0,No,0,27.84,111,29,2
01/03/2023,,47.76,305.38,28/02/2023,1,@22%,0.11,0,0,0,0,0,0,-0.045563549,Yes,0,50.04,57,12,4
22/03/2023,,69.72,270,22/03/2023,0,@22%,0.17,0,0,0,0,0,0,0.169014085,Yes,0,59.64,62,37,4
20/03/2023,,82.56,350,20/03/2023,0,@23%,0.35,1,1,1,0,,,0.298113208,Yes,0,63.6,57,37,4
10/04/2023,69.72,69.72,499,27/03/2023,14,@22%,0.34,1,1,1,0,2,178.14,0.048736462,Yes,1,66.48,56,37,4
12/04/2023,43.8,43.8,369.99,12/01/2023,90,ASIS FEE,1,1,1,1,0,1,85.03,0,No,1,43.8,113,8,2
16/04/2023,60.84,60.84,280.03,16/04/2023,0,@23%,0.18,0,0,0,0,0,0,0.020120724,Yes,1,59.64,62,37,4
20/04/2023,,47.76,319.99,10/04/2023,10,@23%,0.09,0,0,0,0,0,0,0.039164491,Yes,0,45.96,57,11,1
12/03/2023,,21.36,339,11/03/2023,1,@23%,0.15,0,0,0,0,0,0,-0.194570136,Yes,0,26.52,0,19,2
19/04/2023,,46.56,1200,07/09/2022,224,@22%,0.25,0,0,0,0,0,0,0.297658863,Yes,0,35.88,85,9,2
06/03/2023,,69.72,399,01/03/2023,5,@23%,0.16,0,0,0,0,,,0.048736462,Yes,0,66.48,56,37,4
02/03/2023,,48.12,544.99,01/06/2022,274,@22%,0.25,0,0,0,0,0,0,0.148997135,Yes,0,41.88,62,8,2
08/03/2023,,72.12,300,06/02/2023,30,@23%,0.13,0,0,0,0,0,0,0.234086242,Yes,0,58.44,34,25,2
10/04/2023,,37.92,150,01/12/2022,130,@23%,0.23,0,0,0,0,0,0,0.074829932,Yes,0,35.28,62,9,2
30/03/2023,,48.24,459,30/03/2023,0,@23%,0.11,0,0,0,0,0,0,0.151862464,Yes,0,41.88,57,8,2
11/03/2023,,48.24,331.45,25/02/2023,14,@22%,0.08,0,0,0,0,0,0,0.049608355,Yes,0,45.96,57,11,1
20/04/2023,69.36,69.36,1200,21/04/2023,-1,@23%,0.59,1,3,3,0,3,263.42,0.024822695,Yes,1,67.68,8,8,2
05/04/2023,53.4,53.4,160,05/07/2022,274,@23%,0.25,0,0,3,3,1,174.99,0.297376093,Yes,1,41.16,7,12,4
13/04/2023,,69.72,316.57,13/04/2023,0,@23%,0.2,0,0,0,0,,,0.096226415,Yes,0,63.6,57,37,4
31/03/2023,48.12,48.12,586,28/03/2023,3,@23%,0.14,0,0,0,0,0,0,0.066489362,Yes,1,45.12,129,16,12
14/04/2023,,34.92,350,14/04/2023,0,@22%,0.45,1,1,1,0,1,76,-0.033222591,Yes,0,36.12,101,15,12
19/04/2023,,53.4,300,19/08/2022,243,@22%,0.23,0,0,0,0,0,0,0.183510638,Yes,0,45.12,0,11,1
09/03/2023,,61.2,599.99,08/03/2023,1,ASIS FEE,1,1,1,1,0,1,70,0,No,0,61.2,0,37,4
17/03/2023,,60.96,275,17/03/2023,0,@23%,0.12,0,0,0,0,0,0,-0.043314501,Yes,0,63.72,7,37,4
29/03/2023,,29.28,300,15/03/2023,14,@23%,0.19,0,0,0,0,0,0,0.051724138,Yes,0,27.84,89,9,2
21/03/2023,,47.76,300,27/02/2023,22,@22%,0.19,0,0,0,0,0,0,0.090410959,Yes,0,43.8,21,16,12
